TaxaID	superkingdom	phylum	class	order	family	genus	Prevalence	FistQuantile	Median	Mean	ThirdQuantile	Max
Neisseria	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	0.216346153846154	0	0	0.00430337639624185	0	0.12603305785124
Azospira	Bacteria	Pseudomonadota	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azospira	0.0817307692307692	0	0	0.00102060269984203	0	0.0526315789473684
Cronobacter	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	0.0288461538461538	0	0	0.000170829909704005	0	0.0111607142857143
Aquabacterium	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiales_unclassified	Aquabacterium	0.153846153846154	0	0	0.00412027613846262	0	0.129107981220657
Tetragenococcus	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Tetragenococcus	0.0913461538461538	0	0	0.000443632371515263	0	0.0105042016806723
Butyrivibrio	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Butyrivibrio	0.0480769230769231	0	0	9.91708319035002e-05	0	0.00216450216450216
Pantoea	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	0.0528846153846154	0	0	0.00102521724304353	0	0.159090909090909
Leptothrix	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	Leptothrix	0.0769230769230769	0	0	0.000366293100774655	0	0.0140845070422535
Sphaerotilus	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	Sphaerotilus	0.0625	0	0	0.00113031066091671	0	0.0951417004048583
Massilia	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	0.225961538461538	0	0	0.0102699594263516	0	0.401673640167364
Rubrivivax	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	Rubrivivax	0.0576923076923077	0	0	0.000588383718873137	0	0.0291479820627803
Schaalia	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Schaalia	0.0673076923076923	0	0	0.00580299196712956	0	0.219315895372233
Diaphorobacter	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Diaphorobacter	0.0336538461538462	0	0	0.000235122427276225	0	0.0263157894736842
Novosphingobium	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	0.557692307692308	0	0.00203873810216551	0.0042881825674858	0.00606367316893633	0.0446009389671361
Selenomonas	Bacteria	Bacillota	Negativicutes	Selenomonadales	Selenomonadaceae	Selenomonas	0.125	0	0	0.00100132809902309	0	0.0265848670756646
Paucibacter	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiales_unclassified	Paucibacter	0.0721153846153846	0	0	0.000345365771002077	0	0.0203665987780041
Weissella	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	0.00961538461538462	0	0	0.000119928193425911	0	0.0229166666666667
Roseateles	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	Roseateles	0.173076923076923	0	0	0.0035373356983544	0	0.279022403258656
Sphingobium	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	0.254807692307692	0	0	0.00272524771064992	0.00200100200400802	0.0868686868686869
Cloacibacterium	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Cloacibacterium	0.0384615384615385	0	0	0.000382426406463112	0	0.040983606557377
Aggregatibacter	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	0.134615384615385	0	0	0.00170201802578013	0	0.142268041237113
Eikenella	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella	0.0576923076923077	0	0	0.000508899591277363	0	0.0752032520325203
Listeria	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria	0.0240384615384615	0	0	0.000499376762198551	0	0.0712589073634204
Comamonas	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	0.100961538461538	0	0	0.000841354032330444	0	0.0829959514170041
Capnocytophaga	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	0.0576923076923077	0	0	0.000646729886034527	0	0.0385395537525355
